track_name,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,,,,,,,,,,,,,,,size_bytes,
PAC-MAN Premium,96.12,USD,3.99,21292,26,4,4.5,6.3.5,4+,Games,,,,,,,,,,,,,,,100788224,1048576
Evernote - stay organized,151.23,USD,0,161065,26,4,3.5,8.2.2,4+,Productivity,,,,,,,,,,,,,,,158578688,
"WeatherBug - Local Weather, Radar, Maps, Alerts",95.87,USD,0,188583,2822,3.5,4.5,5.0.0,4+,Weather,,,,,,,,,,,,,,,100524032,
"eBay: Best App to Buy, Sell, Save! Online Shopping",122.56,USD,0,262241,649,4,4.5,5.10.0,12+,Shopping,,,,,,,,,,,,,,,128512000,
Bible,88.48,USD,0,985920,5320,4.5,5,7.5.1,4+,Reference,,,,,,,,,,,,,,,92774400,
Shanghai Mahjong,10,USD,0.99,8253,5516,4,4,1.8,4+,Games,,,,,,,,,,,,,,,10485713,
PayPal - Send and request money safely,217.24,USD,0,119487,879,4,4.5,6.12.0,4+,Finance,,,,,,,,,,,,,,,227795968,
Pandora - Music & Radio,124.21,USD,0,1126879,3594,4,4.5,8.4.1,12+,Music,,,,,,,,,,,,,,,130242560,
PCalc - The Best Calculator,46.97,USD,9.99,1117,4,4.5,5,3.6.6,4+,Utilities,,,,,,,,,,,,,,,49250304,
Ms. PAC-MAN,66.78,USD,3.99,7885,40,4,4,4.0.4,4+,Games,,,,,,,,,,,,,,,70023168,
Solitaire by MobilityWare,47.32,USD,4.99,76720,4017,4.5,4.5,4.10.1,4+,Games,,,,,,,,,,,,,,,49618944,
SCRABBLE Premium,217.01,USD,7.99,105776,166,3.5,2.5,5.19.0,4+,Games,,,,,,,,,,,,,,,227547136,
Google â€“ Search made just for mobile,171.64,USD,0,479440,203,3.5,4,27,17+,Utilities,,,,,,,,,,,,,,,179979264,
Bank of America - Mobile Banking,153.47,USD,0,119773,2336,3.5,4.5,7.3.8,4+,Finance,,,,,,,,,,,,,,,160925696,
FreeCell,52.6,USD,4.99,6340,668,4.5,4.5,4.0.3,4+,Games,,,,,,,,,,,,,,,55153664,
TripAdvisor Hotels Flights Restaurants,198.28,USD,0,56194,87,4,3.5,21.1,4+,Travel,,,,,,,,,,,,,,,207907840,
Facebook,371.82,USD,0,2974676,212,3.5,3.5,95,4+,Social Networking,,,,,,,,,,,,,,,389879808,
"Yelp - Nearby Restaurants, Shopping & Services",159.65,USD,0,223885,3726,4,4.5,11.15.0,12+,Travel,,,,,,,,,,,,,,,167407616,
"Shazam - Discover music, artists, videos & lyrics",140.28,USD,0,402925,136,4,4.5,11.0.3,12+,Music,,,,,,,,,,,,,,,147093504,
Crash Bandicoot Nitro Kart 3D,10.24,USD,2.99,31456,4178,4,3.5,1.0.0,4+,Games,,,,,,,,,,,,,,,10735026,
iQuran,67.43,USD,1.99,2929,966,4.5,4.5,3.3,4+,Reference,,,,,,,,,,,,,,,70707916,
:) Sudoku +,5.88,USD,2.99,11447,781,5,5,5.2.6,4+,Games,,,,,,,,,,,,,,,6169600,
"Yahoo Sports - Teams, Scores, News & Highlights",124.53,USD,0,137951,131,4,4.5,6.9,4+,Sports,,,,,,,,,,,,,,,130583552,
Mileage Log | Fahrtenbuch,67.91,USD,5.99,8,0,4.5,0,9.0.5,4+,Business,,,,,,,,,,,,,,,71203840,
Cleartune - Chromatic Tuner,10.89,USD,3.99,3241,297,4,4,2.1.3,4+,Music,,,,,,,,,,,,,,,11423008,
Lifesum â€“ Inspiring healthy lifestyle app,179.31,USD,0,5795,12,3.5,4,8.4.1,4+,Health & Fitness,,,,,,,,,,,,,,,188017664,
Hangman.,4.54,USD,0,42316,248,3,3.5,2.0.6,9+,Games,,,,,,,,,,,,,,,4765696,
iTranslate - Language Translator & Dictionary,274.59,USD,0,123215,25,3.5,5,10.5.4,4+,Productivity,,,,,,,,,,,,,,,287933440,
TouchOSC,4.07,USD,4.99,782,7,4,3.5,1.9.8,4+,Music,,,,,,,,,,,,,,,4263936,
RadarScope,164.77,USD,9.99,3449,23,4,4.5,3.4.1,4+,Weather,,,,,,,,,,,,,,,172772352,
LinkedIn,261.16,USD,0,71856,62,3.5,4.5,9.1.32,4+,Social Networking,,,,,,,,,,,,,,,273844224,
Period Tracker Deluxe,38.35,USD,1.99,13350,489,4.5,5,9.6,12+,Health & Fitness,,,,,,,,,,,,,,,40216576,
Election 2016 Map,2.28,USD,0.99,137,0,3,0,5,4+,Entertainment,,,,,,,,,,,,,,,2386944,
Blackjack by MobilityWare,100.55,USD,0,180087,1101,3.5,4.5,5.5.3,12+,Games,,,,,,,,,,,,,,,105431040,
White Noise,42.08,USD,0.99,33426,299,4,5,7.2,4+,Health & Fitness,,,,,,,,,,,,,,,44129280,
iHeartRadio â€“ Free Music & Radio Stations,111.05,USD,0,293228,110,4,3,8.0.0,12+,Music,,,,,,,,,,,,,,,116443136,
Line Rider iRideâ„¢,1.57,USD,1.99,21609,69,3.5,2.5,2.4,9+,Entertainment,,,,,,,,,,,,,,,1646592,
Deliveries: a package tracker,28.63,USD,4.99,4684,10,4,4,8.0.3,4+,Utilities,,,,,,,,,,,,,,,30016512,
Hurricane Pro,28.15,USD,2.99,2104,0,4.5,0,5.2,17+,Weather,,,,,,,,,,,,,,,29518848,
Fieldrunners,63.77,USD,2.99,41633,6,4,3,1.7.177604,9+,Games,,,,,,,,,,,,,,,66872320,
Juxtaposer,43.13,USD,2.99,3610,7,4.5,5,3.8.2,4+,Photo & Video,,,,,,,,,,,,,,,45229056,
Deezer - Listen to your Favorite Music & Playlists,121.57,USD,0,4677,12,3,4,6.19.0,12+,Music,,,,,,,,,,,,,,,127470592,
iStellar,42.19,USD,3.99,30,0,3.5,0,2.9.0,4+,Navigation,,,,,,,,,,,,,,,44241920,
Sonos Controller,102.98,USD,0,48905,2691,4.5,4.5,7.2,4+,Music,,,,,,,,,,,,,,,107983872,
Avertinoo,7.67,USD,4.99,32,0,3,0,3.9.2,4+,Navigation,,,,,,,,,,,,,,,8044544,
Google Earth,35.49,USD,0,446185,1359,3.5,3.5,7.1.6,4+,Travel,,,,,,,,,,,,,,,37214208,
